,company_name,industry,stock_exchange,stock_ticker_symbol,market_capital_euro,score
872,nVent Electric Plc,Electrical Equipment,NYS,NVT,11401853870.08,0.24135037766569803
873,The Toro Co.,Machinery,NYS,TTC,9502891909.12,0.24090928682768178
874,"Cross Country Healthcare, Inc.",Healthcare,NAS,CCRN,492999354.88,0.23881646920474373
875,"Corsair Gaming, Inc.",Technology Hardware,NAS,CRSR,978877644.8,0.23892932900208605
876,"Roper Technologies, Inc.",Software & Services,NAS,ROP,56259472588.8,0.25338280747435965
877,Baker Hughes Co.,Energy Services,NAS,BKR,33417235660.800003,0.24807701323736311
878,Royal Caribbean Group,Consumer Services,NYS,RCL,38937726484.48,0.24935931271135942
879,SLB NV,Energy Services,NYS,SLB,64303155118.08,0.2552511938562454
880,EHang Holdings Ltd.,Software & Services,NAS,EH,853095480.32,0.24051301554979224
881,TransUnion,Commercial Services,NYS,TRU,14164808704.0,0.24360505997299733
882,"PetIQ, Inc.",Healthcare,NAS,PETQ,610114265.6,0.24045657587915825
883,Enviri Corp.,Commercial Services,NYS,NVRI,742845035.52,0.24048740657916076
884,GameStop Corp.,Retailing,NYS,GME,10971532451.84,0.2428633258429621
885,Albany International Corp.,Machinery,NYS,AIN,2628043089.92,0.24092530033729667
886,"CPI Card Group, Inc.",Technology Hardware,NAS,PMTS,306469369.6,0.24038604525011484
887,"fuboTV, Inc.",Media,NYS,FUBO,400039934.72,0.2404077798187007
888,"Clearfield, Inc.",Technology Hardware,NAS,CLFD,538058570.24,0.24043983878399594
889,"MicroVision, Inc.",Technology Hardware,NAS,MVIS,244313448.32,0.24198451090004108
890,"Vivid Seats, Inc.",Media,NAS,SEAT,1041167150.08,0.2421696040584675
891,"Super Micro Computer, Inc.",Technology Hardware,NAS,SMCI,43976234106.880005,0.2521425603649143
892,"Accel Entertainment, Inc.",Media,NYS,ACEL,796465167.36,0.2421127646878844
893,"Schrödinger, Inc.",Healthcare,NAS,SDGR,1549263160.3200002,0.24228762458734432
894,3D Systems Corp.,Technology Hardware,NYS,DDD,494176483.84,0.2420425490798428
895,"Intuitive Surgical, Inc.",Healthcare,NAS,ISRG,139091434536.96,0.2742359168029641
896,Visteon Corp.,Auto Components,NAS,VC,2905502607.36,0.24260265185305274
897,Bausch + Lomb Corp.,Healthcare,NYS,BLCO,5416337285.12,0.24318586847081666
898,"Global Medical REIT, Inc.",Real Estate,NYS,GMRE,591989941.76,0.24206526918746485
899,Amalgamated Financial Corp.,Banks,NAS,AMAL,885708817.9200001,0.2421334942008617
900,"Global Payments, Inc.",Software & Services,NYS,GPN,24309600010.24,0.24757439507620022
901,Bruker Corp.,Pharmaceuticals,NAS,BRKR,8923193344.0,0.2440004409107152
902,"Franklin Resources, Inc.",Diversified Financials,NYS,BEN,11528968724.48,0.24460571035259332
903,"Stagwell, Inc.",Commercial Services,NAS,STGW,1697711769.6,0.24393500945249683
904,"Herc Holdings, Inc.",Traders & Distributors,NYS,HRI,3947490662.4,0.24445758803889187
905,"Qualys, Inc.",Software & Services,NAS,QLYS,4984456253.440001,0.24469845438110896
906,"Donnelley Financial Solutions, Inc.",Diversified Financials,NYS,DFIN,1757406197.76,0.24394887527281514
907,"XP, Inc.",Software & Services,NAS,XP,9368999731.2,0.2457168960332767
908,"Core & Main, Inc.",Traders & Distributors,NYS,CNM,9472844267.52,0.24574101703964255
909,"Onto Innovation, Inc.",Semiconductors,NYS,ONTO,9386368860.16,0.24572093053412827
910,On Holding AG,Textiles & Apparel,NYS,ONON,11856028753.92,0.24629458307406804
911,"Coursera, Inc.",Software & Services,NYS,COUR,1091535104.0,0.24379420675138308
912,AudioCodes Ltd.,Technology Hardware,NAS,AUDC,312461587.2,0.24361324357388592
913,Liberty Media Corp.,Media,NAS,FWONK,16636047523.84,0.24740488571746144
914,ATRenew Inc.,Retailing,NYS,RERE,454843819.52,0.24364631611533952
915,"Dow, Inc.",Chemicals,NYS,DOW,35847474216.96,0.25186731544157875
916,"Postal Realty Trust, Inc.",Real Estate,NYS,PSTL,385037045.76,0.24363010139963165
917,"Darling Ingredients, Inc.",Food Products,NYS,DAR,5582968627.2,0.24483747682070087
918,"Affiliated Managers Group, Inc.",Diversified Financials,NYS,AMG,5057482526.72,0.24471541692208687
919,Flywire Corp.,Software & Services,NAS,FLYW,2169890744.32,0.24404468717323832
920,"Forrester Research, Inc.",Software & Services,NAS,FORR,328365251.84000003,0.24361693767672093
921,"Big Lots, Inc.",Retailing,NYS,BIG,33588151.2,0.2451613700847741
922,Unisys Corp.,Software & Services,NYS,UIS,304439246.08000004,0.24522428337049249
923,"Samsara, Inc.",Software & Services,NYS,IOT,18805179187.2,0.24952163479317388
924,"Savers Value Village, Inc.",Retailing,NYS,SVV,1862119567.36,0.2455861013175605
925,Cerus Corp.,Healthcare,NAS,CERS,401433153.28,0.24524681311289329
926,Apartment Investment & Management Co.,Real Estate,NYS,AIV,1204497208.32,0.24543334881202822
927,Brunswick Corp.,Machinery,NYS,BC,5079864463.360001,0.2463335190235906
928,WillScot Mobile Mini Holdings Corp.,Commercial Services,NAS,WSC,6957007851.52,0.24676954184404856
